#MPEC1 CAMP ELLIOTT 32.859167 -117.105556 539 ft RAWS
#
#Data provided by: Bureau of Land Management & Miramar Fire Department
#MesoWest Disclaimer
#
#English Units   Variable Descriptions

MON,DAY,YEAR,HR,MIN,TMZN,TMPF,RELH,SKNT,GUST,DRCT,QFLG,SOLR,PREC,PEAK,DWPF
2,27,2014, 0,24,PST, 55.0,92,0.0,2.0,,2,0.0,9.07,2,52.7
2,27,2014, 1,24,PST, 57.0,84,2.0,3.0,104,2,0.0,9.07,3,52.2
2,27,2014, 2,24,PST, 56.0,87,0.0,3.0,,2,0.0,9.07,3,52.2
2,27,2014, 3,24,PST, 56.0,84,1.0,2.0,141,2,0.0,9.07,2,51.2
2,27,2014, 4,24,PST, 58.0,78,4.0,6.0,153,2,0.0,9.07,6,51.2
2,27,2014, 5,24,PST, 59.0,76,2.0,5.0,145,2,0.0,9.07,5,51.4
2,27,2014, 6,24,PST, 56.0,93,0.0,4.0,,2,0.0,9.07,4,54.0
2,27,2014, 7,24,PST, 55.0,99,2.0,4.0,143,2,25.0,9.07,4,54.7
2,27,2014, 8,24,PST, 56.0,99,3.0,5.0,151,2,72.0,9.07,5,55.7
2,27,2014, 9,24,PST, 57.0,99,3.0,6.0,157,2,161.0,9.09,6,56.7
2,27,2014, 10,24,PST, 59.0,98,2.0,4.0,156,2,193.0,9.09,4,58.4
2,27,2014, 11,24,PST, 61.0,96,1.0,3.0,154,2,231.0,9.11,3,59.8
2,27,2014, 12,24,PST, 62.0,92,0.0,2.0,,2,309.0,9.11,2,59.6
2,27,2014, 13,24,PST, 65.0,84,0.0,2.0,,2,607.0,9.12,2,60.0
2,27,2014, 14,24,PST, 66.0,81,3.0,5.0,220,2,252.0,9.12,5,60.0
2,27,2014, 15,24,PST, 67.0,76,2.0,5.0,196,2,221.0,9.12,5,59.2
2,27,2014, 16,24,PST, 64.0,82,4.0,6.0,199,2,108.0,9.12,6,58.4
2,27,2014, 17,24,PST, 62.0,89,3.0,6.0,190,2,33.0,9.12,6,58.7
2,27,2014, 18,24,PST, 61.0,91,2.0,4.0,153,2,0.0,9.12,4,58.4
2,27,2014, 19,24,PST, 61.0,92,1.0,3.0,184,2,0.0,9.12,3,58.7
2,27,2014, 20,24,PST, 60.0,93,0.0,1.0,,2,0.0,9.12,1,58.0
2,27,2014, 21,24,PST, 60.0,96,1.0,3.0,82,2,0.0,9.12,3,58.9
2,27,2014, 22,24,PST, 59.0,94,0.0,3.0,,2,0.0,9.12,3,57.3
2,27,2014, 23,24,PST, 60.0,93,0.0,3.0,,2,0.0,9.12,3,58.0
2,28,2014, 0,24,PST, 59.0,97,0.0,0.0,,2,0.0,9.13,0,58.1
2,28,2014, 1,24,PST, 59.0,98,0.0,2.0,,2,0.0,9.15,2,58.4
2,28,2014, 2,24,PST, 59.0,96,2.0,4.0,93,2,0.0,9.17,4,57.9
2,28,2014, 3,24,PST, 58.0,96,1.0,5.0,134,2,0.0,9.19,5,56.9
2,28,2014, 4,24,PST, 59.0,98,3.0,4.0,142,2,0.0,9.19,4,58.4
2,28,2014, 5,24,PST, 59.0,99,4.0,8.0,164,2,0.0,9.21,8,58.7
2,28,2014, 6,24,PST, 60.0,99,4.0,8.0,183,2,0.0,9.28,8,59.7
2,28,2014, 7,24,PST, 61.0,99,6.0,9.0,166,2,16.0,9.35,9,60.7
2,28,2014, 8,24,PST, 61.0,99,5.0,10.0,173,2,52.0,9.42,10,60.7
2,28,2014, 9,24,PST, 62.0,98,6.0,11.0,177,2,193.0,9.50,11,61.4
2,28,2014, 10,24,PST, 62.0,94,7.0,12.0,168,2,23.0,9.50,12,60.3
2,28,2014, 11,24,PST, 62.0,93,7.0,15.0,172,2,134.0,9.51,15,59.9
2,28,2014, 12,24,PST, 62.0,98,8.0,14.0,179,2,67.0,9.70,14,61.4
2,28,2014, 13,24,PST, 62.0,97,9.0,17.0,186,2,393.0,9.80,17,61.1
2,28,2014, 14,24,PST, 64.0,92,9.0,17.0,183,2,181.0,9.81,17,61.6
2,28,2014, 15,24,PST, 65.0,86,9.0,16.0,190,2,824.0,9.81,16,60.7
2,28,2014, 23,24,PST, 57.0,98,4.0,8.0,178,2,0.0,10.19,8,56.4
3,1,2014, 0,24,PST, 57.0,97,4.0,8.0,175,2,0.0,10.19,8,56.2
3,1,2014, 1,24,PST, 58.0,95,4.0,9.0,185,2,0.0,10.19,9,56.6
3,1,2014, 2,24,PST, 58.0,96,4.0,9.0,191,2,0.0,10.24,9,56.9
3,1,2014, 3,24,PST, 54.0,94,1.0,10.0,191,2,0.0,10.32,10,52.3
3,1,2014, 4,24,PST, 54.0,98,1.0,2.0,154,2,0.0,10.32,2,53.4
3,1,2014, 5,24,PST, 54.0,99,0.0,2.0,,2,0.0,10.32,2,53.7
3,1,2014, 6,24,PST, 55.0,98,0.0,0.0,,2,0.0,10.32,0,54.4
3,1,2014, 7,24,PST, 56.0,98,3.0,4.0,157,2,15.0,10.33,4,55.4
3,1,2014, 8,24,PST, 58.0,90,3.0,5.0,156,2,379.0,10.34,5,55.1
3,1,2014, 9,24,PST, 58.0,90,3.0,6.0,165,2,46.0,10.34,6,55.1
3,1,2014, 10,24,PST, 54.0,90,4.0,10.0,234,2,110.0,10.48,10,51.1
3,1,2014, 11,24,PST, 61.0,81,3.0,7.0,178,2,694.0,10.50,7,55.1
3,1,2014, 12,24,PST, 63.0,69,5.0,9.0,203,2,624.0,10.50,9,52.7
3,1,2014, 13,24,PST, 62.0,70,5.0,8.0,191,2,337.0,10.50,8,52.1
3,1,2014, 14,24,PST, 63.0,75,5.0,8.0,203,2,357.0,10.50,8,54.9
3,1,2014, 15,24,PST, 61.0,79,5.0,9.0,185,2,166.0,10.50,9,54.4
3,1,2014, 16,24,PST, 62.0,73,4.0,7.0,185,2,314.0,10.50,7,53.2
3,1,2014, 17,24,PST, 59.0,82,3.0,8.0,187,2,11.0,10.50,8,53.5
3,1,2014, 18,24,PST, 54.0,91,2.0,7.0,213,2,1.0,10.58,7,51.4
3,1,2014, 19,24,PST, 53.0,97,0.0,4.0,,2,0.0,10.64,4,52.2
3,1,2014, 20,24,PST, 53.0,95,0.0,0.0,,2,0.0,10.64,0,51.6
3,1,2014, 21,24,PST, 51.0,97,0.0,0.0,,2,1.0,10.64,0,50.2
3,1,2014, 22,24,PST, 52.0,97,1.0,3.0,85,2,0.0,10.64,3,51.2
3,1,2014, 23,24,PST, 52.0,97,2.0,3.0,93,2,0.0,10.64,3,51.2
3,2,2014, 0,24,PST, 51.0,98,1.0,3.0,91,2,0.0,10.64,3,50.5
3,2,2014, 1,24,PST, 51.0,99,0.0,0.0,,2,0.0,10.64,0,50.7
3,2,2014, 2,24,PST, 53.0,100,0.0,0.0,,2,0.0,10.65,0,53.0
3,2,2014, 3,24,PST, 54.0,99,0.0,1.0,,2,0.0,10.67,1,53.7
3,2,2014, 4,24,PST, 53.0,100,0.0,1.0,,2,0.0,10.67,1,53.0
3,2,2014, 5,24,PST, 52.0,100,0.0,1.0,,2,0.0,10.67,1,52.0
3,2,2014, 6,24,PST, 52.0,100,0.0,2.0,,2,1.0,10.67,2,52.0
3,2,2014, 7,24,PST, 54.0,100,2.0,3.0,127,2,66.0,10.67,3,54.0
3,2,2014, 8,24,PST, 56.0,96,2.0,3.0,241,2,179.0,10.67,3,54.9
3,2,2014, 9,24,PST, 55.0,96,2.0,3.0,281,2,207.0,10.68,3,53.9
3,2,2014, 10,24,PST, 55.0,97,2.0,3.0,226,2,160.0,10.74,3,54.2
3,2,2014, 11,24,PST, 56.0,97,2.0,3.0,125,2,302.0,10.77,3,55.2
3,2,2014, 12,24,PST, 59.0,88,2.0,4.0,183,2,284.0,10.78,4,55.4
3,2,2014, 13,24,PST, 60.0,85,2.0,4.0,154,2,524.0,10.78,4,55.5
3,2,2014, 14,24,PST, 62.0,74,1.0,3.0,180,2,365.0,10.78,3,53.6
3,2,2014, 15,24,PST, 62.0,75,2.0,4.0,323,2,225.0,10.78,4,54.0
3,2,2014, 16,24,PST, 64.0,66,1.0,4.0,360,2,368.0,10.78,4,52.4
